id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
1;Samsung Gama Baja HF-6686;  celulares  ;Gama Baja;Samsung;5919.7;3350.8
2;Bose Audifonos CW-9976;;Audifonos;Bose;745.34;455.68
3;Dell Desktop KA-9833;Computadoras;Desktop;Dell;4738.0;3691.27
4;Apple Gaming BV-1705;Laptops;Gaming;Apple;2760.87;2199.22
5;Apple Ultrabook QW-8353;laptops;Ultrabook;Apple;4803.64;3261.81
6;Huawei Gama Baja BU-8195;Celulares;Gama Baja;Huawei;4112.96;3233.75
7;Kingston Procesadores PX-7285;componentes;Procesadores;Kingston;3797.21;2701.78
8;Intel Memorias RAM XW-3399;;Memorias RAM;Intel;439.1;322.93
9;Samsung Android YZ-8242;Tablets;Android;Samsung;1363.28;1072.99
10;Western Digital Discos HDD VJ-2177;Almacenamiento;Discos HDD;Western Digital;1156.23;709.99
11;Epson Impresoras Laser RB-0158;Impresion;Impresoras Laser;Epson;1597.76;1270.82
12;Xtech Soportes NA-6879;accesorios;Soportes;Xtech;389.59;306.97
13;Asus Gaming VN-3028;  Laptops  ;Gaming;Asus;6317.06;3903.84
14;Sony Volantes WY-2727;GAMING;Volantes;Sony;2944.74;1648.58
15;Redragon Mouse QU-6983;PERIFERICOS;Mouse;Redragon;598.56;367.12
16;Xiaomi Gama Media UI-1502;CELULARES;Gama Media;Xiaomi;737.93;423.19
17;Sony Audifonos GP-8546;AUDIO;Audifonos;Sony;782.56;436.29
18;Amazon Focos Inteligentes AI-0873;  Hogar Inteligente  ;Focos Inteligentes;Amazon;807.89;548.45
19;Motorola Gama Alta OD-9720;celulares;Gama Alta;Motorola;4085.35;2618.88
20;Nintendo Consolas YE-3827;Gaming;Consolas;Nintendo;2095.33;1201.01
21;Targus Cables WG-7711;  accesorios  ;Cables;Targus;202.49;131.26
22;Xtech Fundas SU-4252;  accesorios  ;Fundas;Xtech;183.71;134.16
23;JBL Barras de Sonido AX-7863;  Audio  ;Barras de Sonido;JBL;289.45;230.92
24;Intel Memorias RAM FJ-9007;Componentes;Memorias RAM;Intel;2094.96;1633.87
25;HyperX Webcams JM-1024;;Webcams;HyperX;575.86;438.55
26;Apple Gama Baja RD-4473;CELULARES;Gama Baja;Apple;1349.01;765.06
27;Belkin Fundas GW-5777;;Fundas;Belkin;92.14;57.77
28;Apple Gama Baja LO-9619;CELULARES;Gama Baja;Apple;2105.69;1509.81
29;Belkin Cables TN-7165;accesorios;Cables;Belkin;141.84;92.47
30;Kingston Discos HDD XD-6566;Almacenamiento;Discos HDD;Kingston;541.51;423.2
31;NVIDIA Memorias RAM NU-6409;Componentes;Memorias RAM;NVIDIA;1869.13;1482.02
32;AOC Estandar SX-6833;  monitores  ;Estandar;AOC;1193.52;709.46
33;TP-Link Camaras de Seguridad TX-4009;;Camaras de Seguridad;TP-Link;918.41;598.95
34;Epson Multifuncionales RY-2242;Impresion;Multifuncionales;Epson;1457.65;917.37
35;TP-Link Switches MS-5379;Redes;Switches;TP-Link;686.55;463.45
36;Acer Gaming EW-2219;LAPTOPS;Gaming;Acer;2000.65;1494.86
37;Epson Impresoras Tinta DB-4390;Impresion;Impresoras Tinta;Epson;1760.07;1337.24
38;Razer Controles AD-5473;Gaming;Controles;Razer;2706.26;1590.2
39;ASUS Curvo HF-1579;Monitores;Curvo;ASUS;1892.33;1181.6
40;Ubiquiti Repetidores EZ-5010;Redes;Repetidores;Ubiquiti;826.45;539.77
41;Anker Fundas GC-2600;accesorios;Fundas;Anker;213.96;145.63
42;HyperX Teclados KT-2658;Perifericos;Teclados;HyperX;243.93;157.54
43;HyperX Combos MD-3475;Perifericos;Combos;HyperX;755.91;537.2
44;Apple Android SG-8335;Tablets;Android;Apple;635.59;505.56
45;NVIDIA Fuentes de Poder FM-8357;Componentes;Fuentes de Poder;NVIDIA;4704.78;3233.77
46;Redragon Mouse ZE-2149;Perifericos;Mouse;Redragon;581.05;366.2
47;Razer Controles PT-9146;Gaming;Controles;Razer;1651.36;1185.87
48;Canon Impresoras Tinta RP-8664;impresion;Impresoras Tinta;Canon;623.73;438.72
49;Dell Gaming FS-2031;Laptops;Gaming;Dell;2163.75;1554.98
50;Apple Convertible JX-2665;Laptops;Convertible;Apple;5369.83;3248.76
51;Motorola Gama Baja IV-8246;celulares;Gama Baja;Motorola;1125.96;689.28
52;Seagate Memorias microSD QI-4927;Almacenamiento;Memorias microSD;Seagate;781.1;615.07
53;Dell Gaming SV-4000;Laptops;Gaming;Dell;6650.68;4820.21
54;Motorola Gama Baja QD-2086;CELULARES;Gama Baja;Motorola;4483.33;3268.96
55;Intel Procesadores UF-1460;Componentes;Procesadores;Intel;3505.47;2317.62
56;Apple Android RN-9085;Tablets;Android;Apple;2186.07;1691.54
57;Dell Profesional PM-2716;Monitores;Profesional;Dell;1711.06;1201.34
58;D-Link Routers AP-0335;Redes;Routers;D-Link;677.08;375.75
59;Razer Controles ZA-3693;Gaming;Controles;Razer;1434.08;976.64
60;Logitech Webcams LD-1000;Perifericos;Webcams;Logitech;596.11;451.75
61;JBL Barras de Sonido EJ-8993;Audio;Barras de Sonido;JBL;867.67;558.3
62;Lenovo Mini PC ZT-7810;Computadoras;Mini PC;Lenovo;5801.17;3860.45
63;Logitech Webcams PO-8028;Perifericos;Webcams;Logitech;610.82;346.4
64;Brother Multifuncionales IM-5415;Impresion;Multifuncionales;Brother;2033.16;1511.87
65;Asus Gaming VO-2909;laptops;Gaming;Asus;4922.37;2774.09
66;HyperX Teclados AB-0437;Perifericos;Teclados;HyperX;586.02;340.16
67;Sony Sillas Gamer KI-1366;  Gaming  ;Sillas Gamer;Sony;1431.17;1077.51
68;Razer Webcams IR-0812;PERIFERICOS;Webcams;Razer;295.45;187.02
69;Targus Protectores de Pantalla WK-6815;ACCESORIOS;Protectores de Pantalla;Targus;189.36;123.36
70;Acer Gaming AW-4747;LAPTOPS;Gaming;Acer;3868.11;2949.07
71;Ubiquiti Routers WR-3110;Redes;Routers;Ubiquiti;245.57;160.42
72;Samsung Gama Media NB-8330;  CELULARES  ;Gama Media;Samsung;5743.61;4017.82
73;Ubiquiti Routers NG-7397;Redes;Routers;Ubiquiti;659.6;506.85
74;Anker Cables LH-4218;Accesorios;Cables;Anker;27.49;21.82
75;Anker Fundas OE-4269;  Accesorios  ;Fundas;Anker;162.43;123.33
76;TP-Link Routers ZZ-6501;Redes;Routers;TP-Link;726.22;439.49
77;Logitech Barras de Sonido GF-7671;  audio  ;Barras de Sonido;Logitech;87.59;66.75
78;Anker Fundas IZ-7628;accesorios;Fundas;Anker;269.92;183.05
79;D-Link Repetidores IH-3636;Redes;Repetidores;D-Link;334.14;236.1
80;Nintendo Sillas Gamer XY-5016;Gaming;Sillas Gamer;Nintendo;556.64;325.64
81;Microsoft Controles LK-2762;Gaming;Controles;Microsoft;1380.58;1066.22
82;Apple Gama Baja CG-2666;Celulares;Gama Baja;Apple;637.61;454.28
83;Razer Volantes CP-8093;gaming;Volantes;Razer;1727.74;1245.41
84;Redragon Webcams KL-6165;Perifericos;Webcams;Redragon;566.4;317.74
85;Samsung iPadOS AD-8989;tablets;iPadOS;Samsung;1316.78;756.93
86;Apple Gama Alta ZU-4993;celulares;Gama Alta;Apple;1471.34;1167.19
87;Xiaomi Gama Alta UV-9812;CELULARES;Gama Alta;Xiaomi;1693.37;1284.79
88;ASUS Gaming JB-9777;  Monitores  ;Gaming;ASUS;1764.4;1166.09
89;ASUS Profesional SB-5976;  monitores  ;Profesional;ASUS;1479.7;919.76
90;Belkin Protectores de Pantalla VI-8385;accesorios;Protectores de Pantalla;Belkin;77.26;45.99
91;Logitech Teclados TS-0501;Perifericos;Teclados;Logitech;301.18;197.39
92;Kingston Discos HDD VE-1716;Almacenamiento;Discos HDD;Kingston;1088.21;813.59
93;Xiaomi Gama Alta EI-8939;CELULARES;Gama Alta;Xiaomi;5887.84;3772.89
94;Dell Desktop ZF-9565;  COMPUTADORAS  ;Desktop;Dell;3597.58;2630.99
95;Apple Convertible PH-8871;LAPTOPS;Convertible;Apple;5622.86;4298.79
96;Apple Gama Media DP-4860;CELULARES;Gama Media;Apple;4281.49;2782.87
97;ASUS Profesional LQ-5009;;Profesional;ASUS;1342.44;947.89
98;Apple iPadOS CJ-4928;Tablets;iPadOS;Apple;3425.07;2708.29
99;Xtech Mochilas OO-7570;  accesorios  ;Mochilas;Xtech;77.8;43.07
100;LG Profesional BH-0293;MONITORES;Profesional;LG;2686.65;2134.18
101;SanDisk Discos SSD EP-1250;Almacenamiento;Discos SSD;SanDisk;713.44;397.09
102;Brother Multifuncionales RK-8607;  Impresion  ;Multifuncionales;Brother;607.43;342.53
103;Brother Toners WJ-9069;Impresion;Toners;Brother;1502.38;874.59
104;LG Gaming AM-2233;Monitores;Gaming;LG;756.63;536.83
105;Motorola Gama Alta YK-3180;celulares;Gama Alta;Motorola;5250.13;3357.19
106;Intel Placas Madre BI-0073;  Componentes  ;Placas Madre;Intel;504.91;312.49
107;Microsoft Sillas Gamer IQ-4266;Gaming;Sillas Gamer;Microsoft;2248.35;1373.08
108;Kingston Tarjetas de Video EY-9753;  Componentes  ;Tarjetas de Video;Kingston;4124.15;2659.98
109;Dell All in One YS-4057;Computadoras;All in One;Dell;3272.98;2291.6
110;Dell Empresarial QM-1446;LAPTOPS;Empresarial;Dell;3765.69;2642.98
111;Xtech Cables DU-5674;ACCESORIOS;Cables;Xtech;172.29;101.78
112;Logitech Mouse XP-6873;Perifericos;Mouse;Logitech;257.17;155.25
113;Logitech Combos QV-4453;  PERIFERICOS  ;Combos;Logitech;736.07;558.53
114;Huawei Gama Alta JI-1466;Celulares;Gama Alta;Huawei;4688.92;2848.36
115;Samsung Gama Alta QV-6583;  Celulares  ;Gama Alta;Samsung;5552.29;4318.36
116;Dell Desktop JV-4834;computadoras;Desktop;Dell;1508.12;939.98
117;Redragon Combos OK-3586;PERIFERICOS;Combos;Redragon;706.44;409.53
118;Samsung Estandar ZT-6736;monitores;Estandar;Samsung;1315.25;728.3
119;Kingston Memorias microSD BQ-8532;ALMACENAMIENTO;Memorias microSD;Kingston;983.41;595.27
120;Asus Desktop EA-7758;COMPUTADORAS;Desktop;Asus;1893.89;1261.31
121;Motorola Gama Alta KX-8943;celulares;Gama Alta;Motorola;3263.59;2108.97
122;Motorola Gama Media QP-6983;Celulares;Gama Media;Motorola;4606.67;2706.84
123;SanDisk Pendrives MS-4436;Almacenamiento;Pendrives;SanDisk;691.28;524.0
124;Dell Empresarial BW-5805;LAPTOPS;Empresarial;Dell;6369.73;3585.39
125;Targus Protectores de Pantalla UC-4505;ACCESORIOS;Protectores de Pantalla;Targus;285.55;179.91
126;Samsung Gama Alta ZD-9284;celulares;Gama Alta;Samsung;5224.36;4052.59
127;Belkin Soportes MR-2007;accesorios;Soportes;Belkin;326.37;246.33
128;Logitech Webcams CS-2939;perifericos;Webcams;Logitech;61.46;35.14
129;Logitech Audifonos JL-7737;Audio;Audifonos;Logitech;631.69;437.02
130;Huawei Gama Baja PJ-5450;celulares;Gama Baja;Huawei;4036.74;2465.27
131;Intel Tarjetas de Video VJ-0162;Componentes;Tarjetas de Video;Intel;2497.86;1484.77
132;Belkin Soportes RI-5150;accesorios;Soportes;Belkin;217.44;166.71
133;Samsung Gama Alta QL-0450;Celulares;Gama Alta;Samsung;1365.08;756.94
134;Apple Ultrabook VO-8143;LAPTOPS;Ultrabook;Apple;2458.56;1400.68
135;Xtech Protectores de Pantalla QX-1279;accesorios;Protectores de Pantalla;Xtech;365.9;286.99
136;Anker Fundas WV-3379;;Fundas;Anker;204.36;139.48
137;HP Mini PC JP-3111;Computadoras;Mini PC;HP;1857.85;1380.73
138;Brother Impresoras Laser KZ-5904;;Impresoras Laser;Brother;2004.84;1520.96
139;Huawei Gama Baja JJ-5274;CELULARES;Gama Baja;Huawei;3009.97;2001.03
140;TP-Link Focos Inteligentes HS-6625;hogar inteligente;Focos Inteligentes;TP-Link;1142.06;799.01
141;Lenovo Desktop OH-0857;computadoras;Desktop;Lenovo;2441.26;1564.7
142;Targus Protectores de Pantalla SV-3855;accesorios;Protectores de Pantalla;Targus;80.69;48.81
143;Apple iPadOS ZM-1460;Tablets;iPadOS;Apple;3751.49;2535.83
144;Bose Barras de Sonido GF-1935;Audio;Barras de Sonido;Bose;611.47;365.13
145;Xiaomi Gama Media UW-7455;Celulares;Gama Media;Xiaomi;4894.96;3785.62
146;Intel Procesadores IE-3706;  componentes  ;Procesadores;Intel;1913.57;1438.93
147;Sony Controles DM-2816;  GAMING  ;Controles;Sony;266.49;169.94
148;Microsoft Consolas GI-3746;Gaming;Consolas;Microsoft;1784.99;1418.2
149;Targus Soportes BU-1575;accesorios;Soportes;Targus;38.0;27.79
150;Lenovo Android LW-2641;Tablets;Android;Lenovo;2919.08;2055.93
151;AMD Procesadores HH-6084;COMPONENTES;Procesadores;AMD;4294.16;3122.59
152;Targus Cables AL-8762;Accesorios;Cables;Targus;123.42;78.62
153;Logitech Audifonos OF-9069;Audio;Audifonos;Logitech;1451.37;933.08
154;Acer Convertible YP-9630;laptops;Convertible;Acer;4398.27;3017.14
155;Seagate Discos SSD BV-9951;Almacenamiento;Discos SSD;Seagate;885.18;700.32
156;Western Digital Discos SSD CT-7045;  Almacenamiento  ;Discos SSD;Western Digital;386.41;274.48
157;Sony Volantes JI-5998;Gaming;Volantes;Sony;2994.36;1750.76
158;Huawei Gama Alta LW-6731;CELULARES;Gama Alta;Huawei;1270.88;886.14
159;Lenovo Desktop JH-3438;Computadoras;Desktop;Lenovo;4348.84;3265.73
160;ASUS Curvo FQ-0485;  Monitores  ;Curvo;ASUS;2182.06;1698.04
161;HyperX Mouse XM-4202;;Mouse;HyperX;198.54;126.23
162;HyperX Mouse CR-3645;perifericos;Mouse;HyperX;157.72;110.9
163;TP-Link Enchufes Inteligentes GP-2823;Hogar Inteligente;Enchufes Inteligentes;TP-Link;803.89;516.98
164;Samsung Android XX-4275;Tablets;Android;Samsung;3767.45;2892.94
165;NVIDIA Memorias RAM MN-7672;Componentes;Memorias RAM;NVIDIA;1896.39;1379.84
166;Samsung Gama Alta LB-1154;celulares;Gama Alta;Samsung;1068.66;670.62
167;Samsung Curvo HT-4431;Monitores;Curvo;Samsung;1266.23;765.06
168;Dell Convertible NX-3436;laptops;Convertible;Dell;5600.48;3940.57
169;Motorola Gama Baja QL-3102;;Gama Baja;Motorola;5684.44;3708.49
170;Acer Empresarial UB-7711;;Empresarial;Acer;2928.52;2117.37
171;Samsung Gama Alta RD-6291;Celulares;Gama Alta;Samsung;701.91;494.44
172;Razer Teclados ZE-9265;;Teclados;Razer;618.56;459.69
173;Belkin Soportes HB-7328;ACCESORIOS;Soportes;Belkin;36.95;20.68
174;Google Focos Inteligentes UG-2910;Hogar Inteligente;Focos Inteligentes;Google;795.13;579.52
175;Dell Empresarial KG-7392;  Laptops  ;Empresarial;Dell;1953.78;1152.85
176;AOC Gaming KE-9836;Monitores;Gaming;AOC;830.53;549.46
177;Logitech Webcams BX-5737;Perifericos;Webcams;Logitech;40.25;23.29
